Highlight,Book Title,Book Author,Amazon Book ID,Note,Color,Tags,Location Type,Location,Highlighted at,Document tags
“I’m the CEO” translates to “I’m the type of person who builds and creates things.”,Atomic Habits: An Easy and Proven Way to Build Good Habits and Break Bad Ones,James Clear,B01N5AX61W,,yellow,,location,3208,2020-05-06 04:56:00+00:00,
"Unlike logical certainty, emotional certainty has to do with painting your prospect a picture of the future where they’ve bought your product and can see themselves using the product and feeling good as a result of it. We call this technique future pacing, and it serves as the very backbone of how we move someone emotionally.","Way of the Wolf: Straight line selling: Master the art of persuasion, influence, and success",Jordan Belfort,B075CRRT7Z,,yellow,,location,360,2020-04-30 04:56:00+00:00,
"Remember, it’s not the job of salespeople to turn nos into yeses; it’s simply not what they do. Instead, we turn “Let me think about it” into a yes, and “Let me call you back” into a yes, and “I need to speak to my wife” into a yes, and “It’s a bad time of year” into a yes.","Way of the Wolf: Straight line selling: Master the art of persuasion, influence, and success",Jordan Belfort,B075CRRT7Z,,yellow,,location,385,2020-04-30 04:56:00+00:00,
"You must take immediate control of the sale. You must engage in massive intelligence gathering, while you simultaneously build massive rapport with your prospect. You must smoothly transition into a Straight Line presentation, so you can begin the process of building absolute certainty for each of the Three Tens.","Way of the Wolf: Straight line selling: Master the art of persuasion, influence, and success",Jordan Belfort,B075CRRT7Z,,yellow,,location,601,2020-04-30 04:56:00+00:00,
I was able to persuade each new Strattonite to leave the insults of the past behind and check their emotional baggage at the door; to accept the fact that the moment they stepped into the boardroom everything in the past fell off.,"Way of the Wolf: Straight line selling: Master the art of persuasion, influence, and success",Jordan Belfort,B075CRRT7Z,,yellow,,location,654,2020-04-30 04:56:00+00:00,
"“Act as if you’re a wealthy man, rich already, and you will become rich. Act as if you have unmatched confidence, and you will become confident. Act as if you have all the answers and the answers will come to you!”","Way of the Wolf: Straight line selling: Master the art of persuasion, influence, and success",Jordan Belfort,B075CRRT7Z,,yellow,,location,659,2020-04-30 04:56:00+00:00,
"I told them to act as if their success was a foregone conclusion—that it was time to accept the fact that they had true greatness inside them, greatness that had always been there, dying to come out, but it had been buried under countless layers of insults and bullshit that society had dumped on them, in an effort to keep them down and","Way of the Wolf: Straight line selling: Master the art of persuasion, influence, and success",Jordan Belfort,B075CRRT7Z,,yellow,,location,661,2020-04-30 04:56:00+00:00,
"When you dig beneath the surface, it turns out that what separates all these potential buyers from one another is the sum of the individual beliefs they have about buying, about making decisions in general, and about trusting other people, especially those who are trying to sell them things.","Way of the Wolf: Straight line selling: Master the art of persuasion, influence, and success",Jordan Belfort,B075CRRT7Z,,yellow,,location,737,2020-04-30 04:56:00+00:00,
"We call this level of certainty a person’s action threshold, and it comprises the fourth core element of the Straight Line System. By way of definition, we refer to people who are very easy to sell to as having a low action threshold; and we refer to people who are very difficult to sell to as having a high action threshold.","Way of the Wolf: Straight line selling: Master the art of persuasion, influence, and success",Jordan Belfort,B075CRRT7Z,,yellow,,location,742,2020-04-30 04:56:00+00:00,
"In a manner of speaking, that’s precisely what you’re doing when you’re moving a prospect down the Straight Line. Essentially, you’re cracking the code to his or her buying combination, and you’re doing it the same way every single time.","Way of the Wolf: Straight line selling: Master the art of persuasion, influence, and success",Jordan Belfort,B075CRRT7Z,,yellow,,location,773,2020-04-30 04:56:00+00:00,
"Now, in terms of how we spin the tumbler, well … that’s what the next 200 pages of this book are about. In that regard, I guess it’s fair to say that this book is basically a universal safecracker’s manual for the human mind.","Way of the Wolf: Straight line selling: Master the art of persuasion, influence, and success",Jordan Belfort,B075CRRT7Z,,yellow,,location,779,2020-04-30 04:56:00+00:00,
Sharp as a tack Enthusiastic as hell An expert in your field,"Way of the Wolf: Straight line selling: Master the art of persuasion, influence, and success",Jordan Belfort,B075CRRT7Z,,yellow,,location,817,2020-04-30 04:56:00+00:00,
"And if those three aforementioned things—being sharp as a tack, enthusiastic as hell, and an expert in your field—haven’t been established firmly in your prospect’s mind, then you have basically no chance of closing them.","Way of the Wolf: Straight line selling: Master the art of persuasion, influence, and success",Jordan Belfort,B075CRRT7Z,,yellow,,location,829,2020-04-30 04:56:00+00:00,
"Certainty, clarity, confidence, and courage.","Way of the Wolf: Straight line selling: Master the art of persuasion, influence, and success",Jordan Belfort,B075CRRT7Z,,yellow,,location,1163,2020-04-30 04:56:00+00:00,
"“John, let me just ask you a couple of quick questions, so I can best serve you.”","Way of the Wolf: Straight line selling: Master the art of persuasion, influence, and success",Jordan Belfort,B075CRRT7Z,,yellow,,location,2092,2020-04-30 04:56:00+00:00,
Rule #3: You must always use a script.,"Way of the Wolf: Straight line selling: Master the art of persuasion, influence, and success",Jordan Belfort,B075CRRT7Z,,yellow,,location,2100,2020-04-30 04:56:00+00:00,
"“Now, John, getting started here is very, very simple. It’s just a question of your name, some basic information, and then we handle everything else for you over on this end. And when you combine that with [benefit #1] and [benefit #2] and [benefit #3], then, believe me, John, the only problem you’re going to have is that you didn’t buy more. Sound fair enough?”","Way of the Wolf: Straight line selling: Master the art of persuasion, influence, and success",Jordan Belfort,B075CRRT7Z,,yellow,,location,2612,2020-04-30 04:56:00+00:00,
"“It’s a cash outlay of only three thousand dollars, and let me quickly tell you exactly what you’re going to get for that: you’re going to get [benefit #1] and [benefit #2] and [benefit #3], and again, like I said before, getting started is very, very simple, so believe me, if you do even half as well as the rest of my clients in this program, then the only problem you’ll have is that I didn’t call you six months ago and get you started then. Sound fair enough?”","Way of the Wolf: Straight line selling: Master the art of persuasion, influence, and success",Jordan Belfort,B075CRRT7Z,,yellow,,location,2635,2020-04-30 04:56:00+00:00,
"“I hear what you’re saying, Bill, but let me ask you a question: Does the idea make sense to you? Do you like the idea?”","Way of the Wolf: Straight line selling: Master the art of persuasion, influence, and success",Jordan Belfort,B075CRRT7Z,,yellow,,location,2927,2020-04-30 04:56:00+00:00,
"Autonomy: the feeling that you have control over your day, and that your actions are important Competence: the feeling that you are good at what you do Relatedness: the feeling of connection to other people",So Good They Can't Ignore You,Cal Newport,B01KFR64LQ,,yellow,,location,376,2020-04-26 04:56:00+00:00,
"Jordan is one of many musicians who come and go from the rental, squeezing themselves into any space that meets the technical definition of habitable.",So Good They Can't Ignore You,Cal Newport,B01KFR64LQ,,yellow,,location,479,2020-04-26 04:56:00+00:00,
"I track the hours spent each month dedicated to thinking hard about research problems (in the month in which I first wrote this chapter, for example, I dedicated forty-two hours to these core tasks).",So Good They Can't Ignore You,Cal Newport,B01KFR64LQ,,yellow,,location,550,2020-04-26 04:56:00+00:00,
"“Here’s what I respect: creating something meaningful and then presenting it to the world,” he explained.",So Good They Can't Ignore You,Cal Newport,B01KFR64LQ,,yellow,,location,560,2020-04-26 04:56:00+00:00,
It is a lifetime accumulation of deliberate practice that again and again ends up explaining excellence.,So Good They Can't Ignore You,Cal Newport,B01KFR64LQ,,yellow,,location,1112,2020-04-26 04:56:00+00:00,
"if you just show up and work hard, you’ll soon hit a performance plateau beyond which you fail to get any better.",So Good They Can't Ignore You,Cal Newport,B01KFR64LQ,,yellow,,location,1117,2020-04-26 04:56:00+00:00,
"“You need to be constantly soliciting feedback from colleagues and professionals,”",So Good They Can't Ignore You,Cal Newport,B01KFR64LQ,,yellow,,location,1136,2020-04-26 04:56:00+00:00,
His critique would arrive in the form of bankruptcy.,So Good They Can't Ignore You,Cal Newport,B01KFR64LQ,,yellow,,location,1155,2020-04-26 04:56:00+00:00,
"Doing things we know how to do well is enjoyable, and that’s exactly the opposite of what deliberate practice demands.… Deliberate practice is above all an effort of focus and concentration. That is what makes it “deliberate,” as distinct from the mindless playing of scales or hitting of tennis balls that most people engage in.",So Good They Can't Ignore You,Cal Newport,B01KFR64LQ,,yellow,,location,1255,2020-04-26 04:56:00+00:00,
Deliberate practice is often the opposite of enjoyable.,So Good They Can't Ignore You,Cal Newport,B01KFR64LQ,,yellow,,location,1261,2020-04-26 04:56:00+00:00,
"Pushing past what’s comfortable, however, is only one part of the deliberate-practice story; the other part is embracing honest feedback—even if it destroys what you thought was good.",So Good They Can't Ignore You,Cal Newport,B01KFR64LQ,,yellow,,location,1268,2020-04-26 04:56:00+00:00,
Control that’s acquired without career capital is not sustainable.,So Good They Can't Ignore You,Cal Newport,B01KFR64LQ,,yellow,,location,1455,2020-04-26 04:56:00+00:00,
"was his blog about being a lifestyle designer. In other words, his only product was his enthusiasm about not having a “normal” life. It doesn’t take an economist to point out there’s not much real value lurking there. Or, put into our terminology, enthusiasm alone is not rare and valuable and is therefore not worth much in terms of career capital.",So Good They Can't Ignore You,Cal Newport,B01KFR64LQ,,yellow,,location,1480,2020-04-26 04:56:00+00:00,
"“If you’re struggling to raise money for an idea, or are thinking that you will support your idea with unrelated work, then you need to rethink the idea.”",So Good They Can't Ignore You,Cal Newport,B01KFR64LQ,,yellow,,location,1677,2020-04-26 04:56:00+00:00,
you must first build up rare and valuable skills,So Good They Can't Ignore You,Cal Newport,B01KFR64LQ,,yellow,,location,1717,2020-04-26 04:56:00+00:00,
"One of the first things you’ll notice if you spend time around Pardis is that she enjoys her life. Biology, like any high-stakes academic field, is demanding. Because of this it has a reputation for turning young professors into curmudgeons who adopt a masochistic brand of workaholism, in which relaxation becomes a sign of failure and the accomplishments of peers become tragedies. This can be a bleak existence. Pardis, for her part, has avoided this fate.",So Good They Can't Ignore You,Cal Newport,B01KFR64LQ,,yellow,,location,1752,2020-04-26 04:56:00+00:00,
"People who feel like their careers truly matter are more satisfied with their working lives, and they’re also more resistant to the strain of hard work. Staying up late to save your corporate litigation client a few extra million dollars can be draining, but staying up late to help cure an ancient disease can leave you more energized than when you started—perhaps even providing the extra enthusiasm needed to start a lab volleyball team or tour with a rock band.",So Good They Can't Ignore You,Cal Newport,B01KFR64LQ,,yellow,,location,1804,2020-04-26 04:56:00+00:00,
"Hardness scares off the daydreamers and the timid, leaving more opportunity for those like us who are willing to take the time to carefully work out the best path forward and then confidently take action.",So Good They Can't Ignore You,Cal Newport,B01KFR64LQ,,yellow,,location,1826,2020-04-26 04:56:00+00:00,
It was as if my research community woke up one morning and collectively and spontaneously decided to tackle the same esoteric problem.,So Good They Can't Ignore You,Cal Newport,B01KFR64LQ,,yellow,,location,1856,2020-04-26 04:56:00+00:00,
"The next big ideas in any field are found right beyond the current cutting edge, in the adjacent space that contains the possible new combinations of existing ideas.",So Good They Can't Ignore You,Cal Newport,B01KFR64LQ,,yellow,,location,1872,2020-04-26 04:56:00+00:00,
A good career mission is similar to a scientific breakthrough—it’s an innovation waiting to be discovered in the adjacent possible of your field.,So Good They Can't Ignore You,Cal Newport,B01KFR64LQ,,yellow,,location,1898,2020-04-26 04:56:00+00:00,
Caffeine works by successfully battling with adenosine for the privilege of latching on to adenosine welcome sites—or receptors—in the brain.,Why We Sleep: The New Science of Sleep and Dreams,Matthew Walker,B06Y649387,,yellow,,location,475,2020-04-20 04:56:00+00:00,
"Caffeine has an average half-life of five to seven hours. Let’s say that you have a cup of coffee after your evening dinner, around 7:30 p.m. This means that by 1:30 a.m., 50 percent of that caffeine may still be active and circulating throughout your brain tissue. In other words, by 1:30 a.m., you’re only halfway to completing the job of cleansing your brain of the caffeine you drank after dinner.",Why We Sleep: The New Science of Sleep and Dreams,Matthew Walker,B06Y649387,,yellow,,location,482,2020-04-20 04:56:00+00:00,
"A danger resides in this sleep profile wherein NREM dominates early in the night, followed by an REM sleep dominance later in the morning, one of which most of the general public are unaware. Let’s say that you go to bed this evening at midnight. But instead of waking up at eight a.m., getting a full eight hours of sleep, you must wake up at six a.m. because of an early-morning meeting or because you are an athlete whose coach demands early-morning practices. What percent of sleep will you lose? The logical answer is 25 percent, since waking up at six a.m. will lop off two hours of sleep from what would otherwise be a normal eight hours. But that’s not entirely true. Since your brain desires most of its REM sleep in the last part of the night, which is to say the late-morning hours, you will lose 60 to 90 percent of all your REM sleep, even though you are losing 25 percent of your total sleep time. It works both ways. If you wake up at eight a.m., but don’t go to bed until two a.m., then you lose a significant amount of deep NREM sleep. Similar to an unbalanced diet in which you only eat carbohydrates and are left malnourished by the absence of protein, short-changing the brain of either NREM or REM sleep—both of which serve critical, though different, brain and body functions—results in a myriad of physical and mental ill health, as we will see in later chapters. When it comes to sleep, there is no such thing as burning the candle at both ends—or even at one end—and getting away with it.",Why We Sleep: The New Science of Sleep and Dreams,Matthew Walker,B06Y649387,,yellow,,location,750,2020-04-20 04:56:00+00:00,
sleep is truly an object of awe.,Why We Sleep: The New Science of Sleep and Dreams,Matthew Walker,B06Y649387,,yellow,,location,820,2020-04-20 04:56:00+00:00,
"When it comes to information processing, think of the wake state principally as reception (experiencing and constantly learning the world around you), NREM sleep as reflection (storing and strengthening those raw ingredients of new facts and skills), and REM sleep as integration (interconnecting these raw ingredients with each other, with all past experiences, and, in doing so, building an ever more accurate model of how the world works, including innovative insights and problem-solving abilities).",Why We Sleep: The New Science of Sleep and Dreams,Matthew Walker,B06Y649387,,yellow,,location,870,2020-04-20 04:56:00+00:00,
"After all, absence of evidence is not evidence of absence.",Why We Sleep: The New Science of Sleep and Dreams,Matthew Walker,B06Y649387,,yellow,,location,1011,2020-04-20 04:56:00+00:00,
reports suggest humans have a very mild version of unihemispheric sleep—one that is drawn out for similar reasons.,Why We Sleep: The New Science of Sleep and Dreams,Matthew Walker,B06Y649387,,yellow,,location,1073,2020-04-20 04:56:00+00:00,
"Throughout developed nations, most adults currently sleep in a monophasic pattern—that is, we try to take a long, single bout of slumber at night, the average duration of which is now less than seven hours. Visit cultures that are untouched by electricity and you often see something rather different. Hunter-gatherer tribes, such as the Gabra in northern Kenya or the San people in the Kalahari Desert, whose way of life has changed little over the past thousands of years, sleep in a biphasic pattern. Both these groups take a similarly longer sleep period at night (seven to eight hours of time in bed, achieving about seven hours of sleep), followed by a thirty- to sixty-minute nap in the afternoon. There is also evidence for a mix of the two sleep patterns, determined by time of year. Pre-industrial tribes, such as the Hadza in northern Tanzania or the San of Namibia, sleep in a biphasic pattern in the hotter summer months, incorporating a thirty- to forty-minute nap at high noon. They then switch to a largely monophasic sleep pattern during the cooler winter months.",Why We Sleep: The New Science of Sleep and Dreams,Matthew Walker,B06Y649387,,yellow,,location,1114,2020-04-20 04:56:00+00:00,
"The practice of biphasic sleep is not cultural in origin, however. It is deeply biological. All humans, irrespective of culture or geographical location, have a genetically hardwired dip in alertness that occurs in the midafternoon hours.",Why We Sleep: The New Science of Sleep and Dreams,Matthew Walker,B06Y649387,,yellow,,location,1132,2020-04-20 04:56:00+00:00,
"What becomes clearly apparent when you step back from these details is that modern society has divorced us from what should be a preordained arrangement of biphasic sleep—one that our genetic code nevertheless tries to rekindle every afternoon. The separation from biphasic sleep occurred at, or even before, our shift from an agrarian existence to an industrial one.",Why We Sleep: The New Science of Sleep and Dreams,Matthew Walker,B06Y649387,,yellow,,location,1141,2020-04-20 04:56:00+00:00,
"To the first of these points, we have discovered that REM sleep exquisitely recalibrates and fine-tunes the emotional circuits of the human brain (discussed in detail in part 3 of the book). In this capacity, REM sleep may very well have accelerated the richness and rational control of our initially primitive emotions, a shift that I propose critically contributed to the rapid rise of Homo sapiens to dominance over all other species in key ways. We know, for example, that REM sleep increases our ability to recognize and therefore successfully navigate the kaleidoscope of socioemotional signals that are abundant in human culture, such as overt and covert facial expressions, major and minor bodily gestures, and even mass group behavior.",Why We Sleep: The New Science of Sleep and Dreams,Matthew Walker,B06Y649387,,yellow,,location,1219,2020-04-20 04:56:00+00:00,
"Related, the REM-sleep gift of facilitating accurate recognition and comprehension allows us to make more intelligent decisions and actions as a consequence. More specifically, the coolheaded ability to regulate our emotions each day—a key to what we call emotional IQ—depends on getting sufficient REM sleep night after night. (If your mind immediately jumped to particular colleagues, friends, and public figures who lack these traits, you may well wonder about how much sleep, especially late-morning REM-rich sleep, they are getting.)",Why We Sleep: The New Science of Sleep and Dreams,Matthew Walker,B06Y649387,,yellow,,location,1226,2020-04-20 04:56:00+00:00,
The second evolutionary contribution that the REM-sleep dreaming state fuels is creativity.,Why We Sleep: The New Science of Sleep and Dreams,Matthew Walker,B06Y649387,,yellow,,location,1242,2020-04-20 04:56:00+00:00,
"Sleep cycle by sleep cycle, REM sleep helps construct vast associative networks of information within the brain.",Why We Sleep: The New Science of Sleep and Dreams,Matthew Walker,B06Y649387,,yellow,,location,1245,2020-04-20 04:56:00+00:00,
Alcohol is one of the most powerful suppressors of REM sleep that we know of.,Why We Sleep: The New Science of Sleep and Dreams,Matthew Walker,B06Y649387,,yellow,,location,1343,2020-04-20 04:56:00+00:00,
"Their mothers were assessed on two successive days. On one of those days, the mothers drank non-alcoholic fluids. On the other day, they drank approximately two glasses of wine (the absolute amount was controlled on the basis of their body weight). Alcohol significantly reduced the amount of time that the unborn babies spent in REM sleep, relative to the non-alcohol condition. That alcohol also dampened the intensity of REM sleep experienced by the fetus, defined by the standard measure of how many darting rapid eye movements adorn the REM-sleep cycle. Furthermore, these unborn infants suffered a marked depression in breathing during REM sleep, with breath rates dropping from a normal rate of 381 per hour during natural sleep to just 4 per hour when the fetus was awash with alcohol.fn8",Why We Sleep: The New Science of Sleep and Dreams,Matthew Walker,B06Y649387,,yellow,,location,1362,2020-04-20 04:56:00+00:00,
"REM sleep plays an essential role in this proliferation process, helping to populate brain neighborhoods with neural connectivity, and then activate those pathways with a healthy dose of informational bandwidth.",Why We Sleep: The New Science of Sleep and Dreams,Matthew Walker,B06Y649387,,yellow,,location,1422,2020-04-20 04:56:00+00:00,
Most worrying from a societal perspective were the individuals in the group who obtained six hours of sleep a night—something that may sound familiar to many of you. Ten days of six hours of sleep a night was all it took to become as impaired in performance as going without sleep for twenty-four hours straight.,Why We Sleep: The New Science of Sleep and Dreams,Matthew Walker,B06Y649387,,yellow,,location,2181,2020-04-20 04:56:00+00:00,
"As we have already learned, the brain is incapable of that. In a disturbing later study, researchers in Australia took two groups of healthy adults, one of whom they got drunk to the legal driving limit (.08 percent blood alcohol), the other of whom they sleep-deprived for a single night. Both groups performed the concentration test to assess attention performance, specifically the number of lapses. After being awake for nineteen hours, people who were sleep-deprived were as cognitively impaired as those who were legally drunk.",Why We Sleep: The New Science of Sleep and Dreams,Matthew Walker,B06Y649387,,yellow,,location,2204,2020-04-20 04:56:00+00:00,
“The best bridge between despair and hope is a good night’s sleep.”fn7,Why We Sleep: The New Science of Sleep and Dreams,Matthew Walker,B06Y649387,,yellow,,location,2445,2020-04-20 04:56:00+00:00,
"To test this theory, we had elderly patients with varying levels of amyloid—low to high—in their brains learn a list of new facts in the evening. The next morning, after recording their sleep in the laboratory that night, we tested them to see how effective their sleep had been at cementing and thus holding on to those new memories. We discovered a chain-reaction effect. Those individuals with the highest levels of amyloid deposits in the frontal regions of the brain had the most severe loss of deep sleep and, as a knock-on consequence, failed to successfully consolidate those new memories. Overnight forgetting, rather than remembering, had taken place. The disruption of deep NREM sleep was therefore a hidden middleman brokering the bad deal between amyloid and memory impairment in Alzheimer’s disease. A missing link.",Why We Sleep: The New Science of Sleep and Dreams,Matthew Walker,B06Y649387,,yellow,,location,2567,2020-04-20 04:56:00+00:00,
"In the Northern Hemisphere, the switch to daylight savings time in March results in most people losing an hour of sleep opportunity. Should you tabulate millions of daily hospital records, as researchers have done, you discover that this seemingly trivial sleep reduction comes with a frightening spike in heart attacks the following day. Impressively, it works both ways. In the autumn within the Northern Hemisphere, when the clocks move back and we gain an hour of sleep opportunity time, rates of heart attacks plummet the day after. A similar rise-and-fall relationship can be seen with the number of traffic accidents, proving that the brain, by way of attention lapses and microsleeps, is just as sensitive as the heart to very small perturbations of sleep. Most people think nothing of losing an hour of sleep for a single night, believing it to be trivial and inconsequential. It is anything but.",Why We Sleep: The New Science of Sleep and Dreams,Matthew Walker,B06Y649387,,yellow,,location,2706,2020-04-20 04:56:00+00:00,
"However, something very different happens as the individual transitions into REM sleep and begins to dream. Numerous parts of the brain “light up” on the MRI scan as REM sleep takes hold, indicating a sharp increase in underlying activity. In fact, there are four main clusters of the brain that spike in activity when someone starts dreaming in REM sleep: (1) the visuospatial regions at the back of the brain, which enable complex visual perception; (2) the motor cortex, which instigates movement; (3) the hippocampus and surrounding regions that we have spoken about before, which support your autobiographical memory; and (4) the deep emotional centers of the brain—the amygdala and the cingulate cortex, a ribbon of tissue that sits above the amygdala and lines the inner surface of your brain—both of which help generate and process emotions. Indeed, these emotional regions of the brain are up to 30 percent more active in REM sleep compared to when we are awake!",Why We Sleep: The New Science of Sleep and Dreams,Matthew Walker,B06Y649387,,yellow,,location,3097,2020-04-20 04:56:00+00:00,
"When awake, we see only a narrow set of all possible memory interrelationships. The opposite is true, however, when we enter the dream state and start looking through the other (correct) end of the memory-surveying telescope. Using that wide-angle dream lens, we can apprehend the full constellation of stored information and their diverse combinatorial possibilities, all in creative servitude.",Why We Sleep: The New Science of Sleep and Dreams,Matthew Walker,B06Y649387,,yellow,,location,3578,2020-04-20 04:56:00+00:00,
"The two most common triggers of chronic insomnia are psychological: (1) emotional concerns, or worry, and (2) emotional distress, or anxiety. In this fast-paced, information-overloaded modern world, one of the few times that we stop our persistent informational consumption and inwardly reflect is when our heads hit the pillow.",Why We Sleep: The New Science of Sleep and Dreams,Matthew Walker,B06Y649387,,yellow,,location,3829,2020-04-20 04:56:00+00:00,
"Simply put, the insomnia patients could not disengage from a pattern of altering, worrisome, ruminative brain activity. Think of a time when you closed the lid of a laptop to put it to sleep, but came back later to find that the screen was still on, the cooling fans were still running, and the computer was still active, despite the closed lid. Normally this is because programs and routines are still running, and the computer cannot make the transition into sleep mode.",Why We Sleep: The New Science of Sleep and Dreams,Matthew Walker,B06Y649387,,yellow,,location,3857,2020-04-20 04:56:00+00:00,
"One of the earliest studies found that using an iPad—an electronic tablet enriched with blue LED light—for two hours prior to bed blocked the otherwise rising levels of melatonin by a significant 23 percent. A more recent report took the story several concerning steps further. Healthy adults lived for a two-week period in a tightly controlled laboratory environment. The two-week period was split in half, containing two different experimental arms that everyone passed through: (1) five nights of reading a book on an iPad for several hours before bed (no other iPad uses, such as email or Internet, were allowed), and (2) five nights of reading a printed paper book for several hours before bed, with the two conditions randomized in terms of which the participants experienced as first or second. Compared to reading a printed book, reading on an iPad suppressed melatonin release by over 50 percent at night. Indeed, iPad reading delayed the rise of melatonin by up to three hours, relative to the natural rise in these same individuals when reading a printed book. When reading on the iPad, their melatonin peak, and thus instruction to sleep, did not occur until the early-morning hours, rather than before midnight.",Why We Sleep: The New Science of Sleep and Dreams,Matthew Walker,B06Y649387,,yellow,,location,4240,2020-04-20 04:56:00+00:00,
"Using LED devices at night impacts our natural sleep rhythms, the quality of our sleep, and how alert we feel during the day.",Why We Sleep: The New Science of Sleep and Dreams,Matthew Walker,B06Y649387,,yellow,,location,4254,2020-04-20 04:56:00+00:00,
"One brief note of caution regarding physical activity: try not to exercise right before bed. Body temperature can remain high for an hour or two after physical exertion. Should this occur too close to bedtime, it can be difficult to drop your core temperature sufficiently to initiate sleep due to the exercise-driven increase in metabolic rate. Best to get your workout in at least two to three hours before turning the bedside light out (none LED-powered, I trust).",Why We Sleep: The New Science of Sleep and Dreams,Matthew Walker,B06Y649387,,yellow,,location,4649,2020-04-20 04:56:00+00:00,
"lack of sleep is a slow form of self-euthanasia, what can be done about it? In this book,",Why We Sleep: The New Science of Sleep and Dreams,Matthew Walker,B06Y649387,,yellow,,location,5123,2020-04-20 04:56:00+00:00,
"Studies on highly successful people have proven again and again that success is not the result of strong willpower and the ability to overcome resistance, but rather the result of smart working environments that avoid resistance in the first place","How to Take Smart Notes: One Simple Technique to Boost Writing,  Learning and Thinking – for Students, Academics and Nonfiction Book Writers",Sönke Ahrens,B06WVYW33Y,,yellow,,location,381,2020-04-09 04:56:00+00:00,
"Whenever he read something, he would write the bibliographic information on one side of a card and make brief notes about the content on the other side (Schmidt 2013, 170). These notes would end up in the bibliographic slip-box.","How to Take Smart Notes: One Simple Technique to Boost Writing,  Learning and Thinking – for Students, Academics and Nonfiction Book Writers",Sönke Ahrens,B06WVYW33Y,,yellow,,location,419,2020-04-09 04:56:00+00:00,
